TITLE,OVERVIEW,SYMPTOMS,TREATMENT,TAGS,INSTITUTION,LASTREADTIME
Clomid,con_overview/Clomid_overview.html,null,con_treatment/Clomid_treatment.html,"infertility, Clomid induction of ovulation, pregnancy, problems conceiving",KK Women's and Children's Hospital,0
Clubfoot (Child),con_overview/Clubfoot-Child_overview.html,con_symptoms/Clubfoot-Child_symptoms.html,con_treatment/Clubfoot-Child_treatment.html,"deformity of the foot, causes of deformity",Singapore General Hospital,0
Cochlear Implant,con_overview/CochlearImplant_overview.html,null,con_treatment/CochlearImplant_treatment.html,"cochlear implant, hearing aid",Singapore General Hospital,0
Cognitive-Behavioural Therapy,con_overview/Cognitive-Behavioural-Therapy_overview.html,null,con_treatment/Cognitive-Behavioural-Therapy_treatment.html,"cognitive behavioural therapy, coping with chronic pain",Singapore General Hospital,0
Colic (Baby),con_overview/Colic-Baby_overview.html,null,con_treatment/Colic-Baby_treatment.html,"evening colic,  excessive crying, three-month colic, infantile colic, intense crying, colicy baby",KK Women's and Children's Hospital,0
Colonoscopy,con_overview/Colonoscopy_overview.html,null,con_treatment/Colonoscopy_treatment.html,"colonoscopy, colon cancer, polyp",Singapore General Hospital,0
Colorectum Cancer (Colorectal Cancer),con_overview/Colon-Cancer-Colorectal-Cancer_overview.html,con_symptoms/Colon-Cancer-Colorectal-Cancer_symptoms.html,con_treatment/Colon-Cancer-Colorectal-Cancer_treatment.html,"Colon cancer, colorectal cancer, colon surgery","National Cancer Centre Singapore, Singapore General Hospital, KK Women's and Children's Hospital",0
Colposuspension (Incontinence Surgery),con_overview/Colposuspension_overview.html,null,con_treatment/Colposuspension_treatment.html,"incontinence surgery, treatment for incontinence, incontinence",Singapore General Hospital,0
Computed Tomography (CT),con_overview/Computed-Tomography-CT_overview.html,null,con_treatment/Computed-Tomography-CT_treatment.html,"CT scan, uses of CT scan",Singapore General Hospital,0
Cone-Biopsy / Leep of the Cervix,con_overview/Cone-BiopsyLeep-CervixLaser-Treatment_overview.html,con_symptoms/Cone-BiopsyLeep-CervixLaser-Treatment_symptoms.html,con_treatment/Cone-BiopsyLeep-CervixLaser-Treatment_treatment.html,"PAP smear,  precancerous changes of the cervix, colposcopy, abnormal cells, signs of a very early cancer, ",KK Women's and Children's Hospital,0
Confidence (Child),con_overview/Confidence-Child_overview.html,null,con_treatment/Confidence-Child_treatment.html,Role modeling,KK Women's and Children's Hospital,0
Congenital Hip Dislocation (Baby),con_overview/Congenital-Hip-Dislocation_overview.html,con_symptoms/Congenital-Hip-Dislocation_symptoms.html,con_treatment/Congenital-Hip-Dislocation_treatment.html,"Congenital hip dislocation, CHD, developmental dysplasia of the hip, femur dislocation",Singapore General Hospital,0
Congenital Muscular Torticollis (Baby),con_overview/Congenital-Muscular-Torticollis-Child_overview.html,con_symptoms/Congenital-Muscular-Torticollis-Child_symptoms.html,con_treatment/Congenital-Muscular-Torticollis-Child_treatment.html,"wry neck, soft lump in the belly, flattening of the child’s head, ",KK Women's and Children's Hospital,0
Congenital Talipes Equino Varus (Club Foot),con_overview/Congenital-Talipes-Equino-Varus-Club-Foot-Child_overview.html,con_symptoms/Congenital-Talipes-Equino-Varus-Club-Foot-Child_symptoms.html,con_treatment/Congenital-Talipes-Equino-Varus-Club-Foot-Child_treatment.html,,KK Women's and Children's Hospital,0
Contact Microscopic Endoscopy,con_overview/ContactMicroscopicEndoscopy_overview.html,null,con_treatment/ContactMicroscopicEndoscopy_treatment.html,,Singapore General Hospital,0
Convulsion without Fever (Child),con_overview/Convulsion-Without-Fever-Child_overview.html,null,con_treatment/Convulsion-Without-Fever-Child_treatment.html,"seizure, unconscious, eyes roll backwards, the body stiffens, arms jerk, legs jerk, epilepsy, Recurrent seizures, anti-convulsants, Rectcil valium, First Aid, bite the tongue, vomiting",KK Women's and Children's Hospital,0
Corneal Infections,con_overview/Corneal-Infections_overview.html,null,con_treatment/Corneal-Infections_treatment.html,"corneal infection, what causes corneal infection, how to prevent corneal infection, corneal graft surgery, eye redness, eye pain, red eye, itchy, Poor vision, distorted vision, blurry vision, sharp pain, vision loss","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Coronary Angiography,con_overview/Coronary-Angiography_overview.html,null,con_treatment/Coronary-Angiography_treatment.html,,"National Heart Centre Singapore, KK Women's and Children's Hospital",0
Coronary Angioplasty,con_overview/Coronary-Angioplasty_overview.html,null,con_treatment/Coronary-Angioplasty_treatment.html,"Heart Bypass Surgery, Minimally Invasive Heart Bypass Surgery, Angioplasty, ","National Heart Centre Singapore, KK Women's and Children's Hospital",0
Coronary Artery Bypass Graft (CABG),con_overview/Heart-Bypass-Surgery-Coronary-Artery-Bypass-Grafting-CABG_overview.html,con_symptoms/Heart-Bypass-Surgery-Coronary-Artery-Bypass-Grafting-CABG_symptoms.html,con_treatment/Heart-Bypass-Surgery-Coronary-Artery-Bypass-Grafting-CABG_treatment.html,"bypass, bypass surgery, CABG, heart bypass surgery, after bypass surgery, open heart, open heart surgery, coronary bypass, coronary bypass surgery, bypass surgery recovery, heart bypass recovery, heart surgery recovery, coronary artery bypass ","National Heart Centre Singapore, KK Women's and Children's Hospital",0
Coronary Artery Disease/Coronary Heart Disease,con_overview/Coronary-Artery-Disease_overview.html,null,con_treatment/Coronary-Artery-Disease_treatment.html,"Coronary Artery Disease, Coronary Heart Disease, heart disease, cardiac disease","National Heart Centre Singapore, KK Women's and Children's Hospital",0
Coronary Atherectomy,con_overview/Coronary-Atherectomy_overview.html,null,con_treatment/Coronary-Atherectomy_treatment.html,,"National Heart Centre Singapore, KK Women's and Children's Hospital",0
Coronary Stent Implantation,con_overview/Coronary-Stent-Implantation_overview.html,null,con_treatment/Coronary-Stent-Implantation_treatment.html,"stent, Coronary Stent Implantation, stent implantation, stent procedure","National Heart Centre Singapore, KK Women's and Children's Hospital",0
Cough &amp; Cold (Child),con_overview/Coughs-and-Colds-Child_overview.html,con_symptoms/Coughs-and-Colds-Child_symptoms.html,con_treatment/Coughs-and-Colds-Child_treatment.html,"runny nose, stuffy nose, sneezing, coughing, sore throat, flushed cheeks, poor appetite, grumpiness, aches, fatigue, fever, tired, decongestants, antihistamines, cough suppressants (antitussives), expectorants, antipyretics,  swelling, infection",KK Women's and Children's Hospital,0
Cracked Tooth,con_overview/Cracked-Tooth_overview.html,null,con_treatment/Cracked-Tooth_treatment.html,"crack tooth, why tooth crack, causes of crack tooth",National Dental Centre Singapore,0
Crohn's Disease,con_overview/Crohns-Disease_overview.html,null,con_treatment/Crohns-Disease_treatment.html,"Crohn's Disease, Treatment for Crohn's Disease, Surgery for Crohn's Disease",Singapore General Hospital,0
Croup (Child),con_overview/Croup-Child_overview.html,null,con_treatment/Croup-Child_treatment.html,"breathing difficult, lethargic, poor feeding, croup more than a week, croup seven days, low-pitched &quot;barking&quot; cough, hoarseness, stridor",KK Women's and Children's Hospital,0
Crowns & Bridges,con_overview/Crowns-Bridges-Dental_overview.html,null,con_treatment/Crowns-Bridges-Dental_treatment.html,"crown, bridges, missing teeth",National Dental Centre Singapore,0
Crying (Baby),con_overview/Crying-Child_overview.html,null,con_treatment/Crying-Child_treatment.html,,KK Women's and Children's Hospital,0
D,,,,,,0
Day Surgery (Child),con_overview/Day-Surgery-Child_overview.html,null,con_treatment/Day-Surgery-Child_treatment.html,"day surgery preparation, preparing for day surgery",KK Women's and Children's Hospital,0
Decompressive Craniectomy,con_overview/Decompressive-Craniectomy_overview.html,null,con_treatment/Decompressive-Craniectomy_treatment.html,"severe head injury, swelling brain, craniectomy, decompressive craniectomy","National Neuroscience Institute - Singapore General Hospital Campus, National Neuroscience Institute - Tan Tock Seng Hospital Campus",0
Deep Vein Thrombosis,con_overview/Deep-Vein-Thrombosis_overview.html,con_symptoms/Deep-Vein-Thrombosis_symptoms.html,con_treatment/Deep-Vein-Thrombosis_treatment.html,,"National Heart Centre Singapore, KK Women's and Children's Hospital",0
Dementia,con_overview/Dementia_overview.html,con_symptoms/Dementia_symptoms.html,con_treatment/Dementia_treatment.html,"dementia, memory loss, impaired judgement, disorientation, loss of function","National Neuroscience Institute - Singapore General Hospital Campus, National Neuroscience Institute - Tan Tock Seng Hospital Campus",0
Dengue Fever (Child),con_overview/Dengue-Fever-Child_overview.html,con_symptoms/Dengue-Fever-Child_symptoms.html,con_treatment/Dengue-Fever-Child_treatment.html,"Fever, Headache, Muscle aches, joint aches, itchy rash, bleeding tendency, Bruises from minor knocks and bumps, dengue infection, Dengue Hemorrhagic Fever (DHF), Dengue Shock Syndrome (DSS), low blood pressure, organ failure, blood test",KK Women's and Children's Hospital,0
Dental Implants,con_overview/Dental-Implants_overview.html,null,con_treatment/Dental-Implants_treatment.html,,National Dental Centre Singapore,0
Dentures,con_overview/Dentures_overview.html,null,con_treatment/Dentures_treatment.html,"denture, false teeth, how to take care of dentures",National Dental Centre Singapore,0
Depression,con_overview/Depression_overview.html,con_symptoms/Depression_symptoms.html,con_treatment/Depression_treatment.html,"depressed mood, Withdrawal from friends and family, Irritability, anger or anxiety, Inability to concentrate, Significant weight loss or gain, Significant change in sleep patterns ",Singapore General Hospital,0
Development (Child),con_overview/Development-Child_overview.html,null,con_treatment/Development-Child_treatment.html,"Child development, infant development, baby development milestones",KK Women's and Children's Hospital,0
Developmental Dysplasia of the Hip (Child),con_overview/Developmental-Dysplasia-Hip-Child_overview.html,con_symptoms/Developmental-Dysplasia-Hip-Child_symptoms.html,con_treatment/Developmental-Dysplasia-Hip-Child_treatment.html,"dislocatable hip, dislocate hip , Abduction Splint, ",KK Women's and Children's Hospital,0
Diabetes Management,con_overview/Diabetes-Management_overview.html,con_symptoms/Diabetes-Management_symptoms.html,con_treatment/Diabetes-Management_treatment.html,,"National Heart Centre Singapore, KK Women's and Children's Hospital",0
Diabetes Mellitus,con_overview/Diabetes-Mellitus_overview.html,con_symptoms/Diabetes-Mellitus_symptoms.html,con_treatment/Diabetes-Mellitus_treatment.html,"diabetes mellitus, glucose, blood sugar, insulin",Singapore General Hospital,0
Diabetic Retinopathy,con_overview/Diabetic-Retinopathy_overview.html,con_symptoms/Diabetic-Retinopathy_symptoms.html,con_treatment/Diabetic-Retinopathy_treatment.html,"Diabetic Retinopathy, Eyes, disorder of retina blood vessel, diabetes mellitus, blindness","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Dialysis,con_overview/Dialysis_overview.html,null,con_treatment/Dialysis_treatment.html,"dialysis, hemodialysis, blood dialysis, peritoneal dialysis, ",Singapore General Hospital,0
Diarrhoea (Child),con_overview/Diarrhoea-Child_overview.html,con_symptoms/Diarrhoea-Child_symptoms.html,con_treatment/Diarrhoea-Child_treatment.html,"Gastroenteritis, Dehydrated, Dehydration, not passing urine, loss of weight, tiredness, dry tongue, dry eyes , dry lips, increasing heart rate, stomach pain, vomiting",KK Women's and Children's Hospital,0
Dicopac Test,con_overview/Dicopac-Test_overview.html,null,con_treatment/Dicopac-Test_treatment.html,"dicopac test, gastric juice, intestines, urine sample",Singapore General Hospital,0
Diplopia (Double Vision),con_overview/Diplopia-Double-Vision_overview.html,null,con_treatment/Diplopia-Double-Vision_treatment.html,"double image, double vision, diplopia","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Discoloured Teeth,con_overview/Discoloured-Teeth_overview.html,con_symptoms/Discoloured-Teeth_symptoms.html,con_treatment/Discoloured-Teeth_treatment.html,"discoloured teeth, tea stain, coffee stain",National Dental Centre Singapore,0
Diverticular Disease,con_overview/Diverticular-Disease_overview.html,con_symptoms/Diverticular-Disease_symptoms.html,con_treatment/Diverticular-Disease_treatment.html,"diverticular disease, colon disease, colon surgery, ",Singapore General Hospital,0
Donor Insemination Programme,con_overview/Donor-Insemination-Programme_overview.html,null,con_treatment/Donor-Insemination-Programme_treatment.html,"problems conceiving, infertility, Azoospermia (no sperms in the ejaculate), haemophilia, severe Rhesus incompatibility, pregnancy",KK Women's and Children's Hospital,0
Droopy Eyelids (Ptosis),con_overview/Ptosis-Droopy-Eyelids_overview.html,con_symptoms/Ptosis-Droopy-Eyelids_symptoms.html,con_treatment/Ptosis-Droopy-Eyelids_treatment.html,"droopy eyelid, ptosis, eye surgery, SNEC, eye treatment","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Dry Eyes,con_overview/Dry-Eyes_overview.html,null,con_treatment/Dry-Eyes_treatment.html,Eye conditions; dry eyes; SNEC; eye conditions common in women; eye conditions that do not require surgery; eye conditions associated with aging,"Singapore National Eye Centre, KK Women's and Children's Hospital",0
Dyspepsia (Peptic Ulcer Disease),con_overview/Dyspepsia_overview.html,con_symptoms/Dyspepsia_symptoms.html,con_treatment/Dyspepsia_treatment.html,"peptic ulcer disease, non ulcer dyspepsia, gallstones , dyspepsia",Singapore General Hospital,0
E,,,,,,0
Ear Chronic Suppurative Otitis Media,con_overview/Chronic-suppurative-otitis-media_overview.html,con_symptoms/Chronic-suppurative-otitis-media_symptoms.html,con_treatment/Chronic-suppurative-otitis-media_treatment.html,,Singapore General Hospital,0
Ear (Foreign Objects) (Child),con_overview/Ear-Objects-child_overview.html,null,con_treatment/Ear-Objects-child_treatment.html,"Foreign Bodies In The Ear, Ear pain, Ringing noise in the ears, Extreme discomfort, ear infection",KK Women's and Children's Hospital,0
Ear Infections (Child),con_overview/Ear-Infections-Child_overview.html,con_symptoms/Ear-Infections-Child_symptoms.html,con_treatment/Ear-Infections-Child_treatment.html,"ear infection, Otitis externa, Otitis media, causes of ear infections",Singapore General Hospital,0
Ear Otitis Externa,con_overview/External-Ear-Infections-Otitis-Externa_overview.html,con_symptoms/External-Ear-Infections-Otitis-Externa_symptoms.html,con_treatment/External-Ear-Infections-Otitis-Externa_treatment.html,,Singapore General Hospital,0
Ear Otitis Media (Child),con_overview/Ear-Otitis-Media-Child_overview.html,con_symptoms/Ear-Otitis-Media-Child_symptoms.html,con_treatment/Ear-Otitis-Media-Child_treatment.html,"Otitis Media With Effusion (OME), Glue Ear, blockage of the eustachian tube, earache, hearing loss, fussy, sleep poorly, often pull and tug at the ear, not attentive, inattentive, hearing loss, delayed speech",KK Women's and Children's Hospital,0
Ear Pinna Infection,con_overview/External-Ear-Pinna-Infection_overview.html,con_symptoms/External-Ear-Pinna-Infection_symptoms.html,con_treatment/External-Ear-Pinna-Infection_treatment.html,,Singapore General Hospital,0
Earwax In Children,con_overview/Earwax-In-Children_overview.html,con_symptoms/Earwax-In-Children_symptoms.html,con_treatment/Earwax-In-Children_treatment.html,,KK Women's and Children's Hospital,0
Early Childhood Caries,con_overview/Paediatric-Dentistry-Early-Childhood-Caries_overview.html,null,con_treatment/Paediatric-Dentistry-Early-Childhood-Caries_treatment.html,"early childhood caries, tooth decay",National Dental Centre Singapore,0
Echocardiogram,con_overview/Echocardiogram_overview.html,null,con_treatment/Echocardiogram_treatment.html,,"National Heart Centre Singapore, KK Women's and Children's Hospital",0
ECG or Electrocardiogram,con_overview/ECG-Electrocardiogram-Heart_overview.html,null,con_treatment/ECG-Electrocardiogram-Heart_treatment.html,"ECG Tests, ecg heart test, heart attack ecg, ecg of heart, ecg heart monitor, ecg monitor, ecg heart rate","National Heart Centre Singapore, KK Women's and Children's Hospital",0
Eczema (Child),con_overview/Eczema-Child_overview.html,con_symptoms/Eczema-Child_symptoms.html,con_treatment/Eczema-Child_treatment.html,"Atopic Eczema, skin becomes itchy, red, swollen with small blisters, Dry skin, Infections, flu, skin infection, Allergy to food or things e.g. egg, milk, peanuts, shrimp, colouring, preservatives, perfume , Dust mites, Physical environment, heat, sweating",KK Women's and Children's Hospital,0
Emergency (Child),con_overview/Emergency-Child_overview.html,null,con_treatment/Emergency-Child_treatment.html,,KK Women's and Children's Hospital,0
Endodontic Surgery,con_overview/Endodontic-Root-End-Surgery_overview.html,null,con_treatment/Endodontic-Root-End-Surgery_treatment.html,"root canal, root end, endodontic",National Dental Centre Singapore,0
Entropion (Inverted Eyelids),con_overview/Entropion_overview.html,con_symptoms/Entropion_symptoms.html,con_treatment/Entropion_treatment.html,Eye conditions; entropion; SNEC; eye care; trachoma; non-preventable eye conditions; eye conditions due to ageing; eye conditions that require surgery,"Singapore National Eye Centre, KK Women's and Children's Hospital",0
Epiblepharon (Inverted Eyelashes),con_overview/Epiblepharon_overview.html,con_symptoms/Epiblepharon_symptoms.html,con_treatment/Epiblepharon_treatment.html,"red eyes, watery eyes, SNEC, eye conditions, turning eyelashes","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Epidural Lysis of Adhesions,con_overview/Epidural-Lysis-of-Adhesions_overview.html,null,con_treatment/Epidural-Lysis-of-Adhesions_treatment.html,"epidural, low back pain","Singapore General Hospital, KK Women's and Children's Hospital",0
Epidural Steroid Injection,con_overview/Epidural-Steroid-Injection_overview.html,null,con_treatment/Epidural-Steroid-Injection_treatment.html,"swelling nerve, steroid injection","Singapore General Hospital, KK Women's and Children's Hospital",0
Epilepsy,con_overview/Epilepsy_overview.html,con_symptoms/Epilepsy_symptoms.html,con_treatment/Epilepsy_treatment.html,"epilepsy, seizures, stroke","National Neuroscience Institute - Singapore General Hospital Campus, National Neuroscience Institute - Tan Tock Seng Hospital Campus",0
Epiretinal Membrane (Macular Pucker),con_overview/Epiretinal-Membrane-Macular-Pucker_overview.html,con_symptoms/Epiretinal-Membrane-Macular-Pucker_symptoms.html,con_treatment/Epiretinal-Membrane-Macular-Pucker_treatment.html,"blurred vision, distorted vision, crooked straight lines, macular pucker, SNEC, eye conditions","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Erectile Dysfunction,con_overview/Erectile-Dysfunction_overview.html,con_symptoms/Erectile-Dysfunction_symptoms.html,con_treatment/Erectile-Dysfunction_treatment.html,,"National Cancer Centre Singapore, Singapore General Hospital",0
Erectile Dysfunction in Cardiovascular Disease,con_overview/Erectile-Dysfunction-in-Cardiovascular-Disease_overview.html,null,con_treatment/Erectile-Dysfunction-in-Cardiovascular-Disease_treatment.html,,"National Heart Centre Singapore, KK Women's and Children's Hospital",0
External Ventricular Drain,con_overview/External-Ventricular-Drain_overview.html,con_symptoms/External-Ventricular-Drain_symptoms.html,con_treatment/External-Ventricular-Drain_treatment.html,"cerebrospinal fluid, drain brain fluid","National Neuroscience Institute - Singapore General Hospital Campus, National Neuroscience Institute - Tan Tock Seng Hospital Campus",0
Extra-Corporeal Membrane Oxygenator (ECMO),con_overview/Extra-Corporeal-Membrane-Oxygenator_overview.html,null,con_treatment/Extra-Corporeal-Membrane-Oxygenator_treatment.html,,"National Heart Centre Singapore, KK Women's and Children's Hospital",0
Eye Infections (Red Eyes),con_overview/Eye-Infections_overview.html,con_symptoms/Eye-Infections_symptoms.html,con_treatment/Eye-Infections_treatment.html,"red eyes, swollen eyes, eye infections, SNEC, eye conditions, conjunctivitis, stye, eye redness, eye pain, itchy, Poor vision, distorted vision, blurry vision, eye swelling","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Eyelid Infections (Blepharitis /Styes),con_overview/Blepharitis-Eyelid-Infections_overview.html,con_symptoms/Blepharitis-Eyelid-Infections_symptoms.html,con_treatment/Blepharitis-Eyelid-Infections_treatment.html,"eye sty, blepharitis; SNEC; eye care; eyelid scrub; astigmatism; amblyopia; eye conditions that do not require surgery; eye conditions due to infection","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Eyelid Twitches (Spasms),con_overview/Spasms_overview.html,null,con_treatment/Spasms_treatment.html,"eyelid myokymia, blepharospasm, hemifacial spasm, eyelid muscle, eye twitching, eye spasm, eye conditions, excessive blinking, botulinum toxin, botox","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Eye Socket Reconstruction,con_overview/Eye-Socket-Reconstruction_overview.html,null,con_treatment/Eye-Socket-Reconstruction_treatment.html,"eye socket reconstruction, anophthalmic socket, trauma, eye surgery, SNEC","Singapore National Eye Centre, KK Women's and Children's Hospital",0
F,,,,,,0
Facet Joint Syndrome and Treatment,con_overview/Facet_Joint_Syndrome_overview.html,con_symptoms/Facet_Joint_Syndrome_symptoms.html,con_treatment/Facet-Joint-Syndrome-and-Treatment_treatment.html,"Facet Joint Syndrome, joint pain, back pain, neck pain, pain","Singapore General Hospital, KK Women's and Children's Hospital",0
Facial Nerve Pain (Neuralgias),con_overview/Facial-Nerve-Pain-Neuralgias_overview.html,null,con_treatment/Facial-Nerve-Pain-Neuralgias_treatment.html,"facial nerve pain, neuralgias, sharp pain in the face",National Dental Centre Singapore,0
Facial Pain,con_overview/Facial-Pain_overview.html,con_symptoms/Facial-Pain_symptoms.html,con_treatment/Facial-Pain_treatment.html,"facial pain, nerves, neuralgia, causes of facial pain, treatment for facial pain","Singapore General Hospital, KK Women's and Children's Hospital",0
Febrile Fits (Child),con_overview/Febrile-Fits-Child_overview.html,null,con_treatment/Febrile-Fits-Child_treatment.html,,KK Women's and Children's Hospital,0
Fever (Child),con_overview/Fever-Child_overview.html,null,con_treatment/Fever-Child_treatment.html,"Fever In Children, Aspirin in children, ",KK Women's and Children's Hospital,0
Fillings,con_overview/Fillings-Dental_overview.html,null,con_treatment/Fillings-Dental_treatment.html,"filings, cavity, decayed tooth, metal, alloys, non metal",National Dental Centre Singapore,0
Floaters and Flashes,con_overview/Floaters-and-Flashes_overview.html,null,con_treatment/Floaters-and-Flashes_treatment.html,Eye conditions; floaters; SNEC; eye conditions common in women; eye conditions that do not require surgery; eye conditions associated with aging,"Singapore National Eye Centre, KK Women's and Children's Hospital",0
Food & Nutrition - Burping,con_overview/Food-and-Nutrition-Burping-Child_overview.html,null,con_treatment/Food-and-Nutrition-Burping-Child_treatment.html,"breastfeeding, bottle-feeding, Excessive crying, sucking too rapidly ",KK Women's and Children's Hospital,0
Food & Nutrition - Fussy Eaters / Food Fads,con_overview/Food-and-Nutrition-Fussy-Eaters-Child_overview.html,null,con_treatment/Food-and-Nutrition-Fussy-Eaters-Child_treatment.html,,KK Women's and Children's Hospital,0
Food & Nutrition - Meals,con_overview/Food-and-Nutrition-Meals-Child_overview.html,null,con_treatment/Food-and-Nutrition-Meals-Child_treatment.html,,KK Women's and Children's Hospital,0
Food & Nutrition - Vegetables,con_overview/Food-and-Nutrition-Vegetables-Child_overview.html,null,con_treatment/Food-and-Nutrition-Vegetables-Child_treatment.html,,KK Women's and Children's Hospital,0
Food & Nutrition - Vitamin Supplements,con_overview/Food-and-Nutrition-Vitamin-Supplements-Child_overview.html,null,con_treatment/Food-and-Nutrition-Vitamin-Supplements-Child_treatment.html,Preventing Vitamin Deficiency,KK Women's and Children's Hospital,0
Food & Nutrition - Weaning,con_overview/Food-and-Nutrition-Weaning-Child_overview.html,null,con_treatment/Food-and-Nutrition-Weaning-Child_treatment.html,"Weaning Your Baby Onto Solids, Suitable Weaning Foods, Progression Of Weaning",KK Women's and Children's Hospital,0
Foot and Ankle,con_overview/Foot-and-Ankle_overview.html,con_symptoms/Foot-and-Ankle_symptoms.html,con_treatment/Foot-and-Ankle_treatment.html,,"Singapore General Hospital, KK Women's and Children's Hospital",0
Functional Neurosurgery,con_overview/Functional-Neurosurgery_overview.html,null,con_treatment/Functional-Neurosurgery_treatment.html,"movement disorders, neurological conditions","National Neuroscience Institute - Singapore General Hospital Campus, National Neuroscience Institute - Tan Tock Seng Hospital Campus",0
G,,,,,,0
Gallbladder Scan,con_overview/Gallbladder-Scan_overview.html,null,con_treatment/Gallbladder-Scan_treatment.html,"cirrhosis, hepatitis, tumours, ",Singapore General Hospital,0
Gallstones,con_overview/Gallstones_overview.html,con_symptoms/Gallstones_symptoms.html,con_treatment/Gallstones_treatment.html,"gallstone, stones",Singapore General Hospital,0
Gastroenteritis (Food Poisoning),con_overview/Gastroenteritis-food-poisoning_overview.html,con_symptoms/Gastroenteritis-food-poisoning_symptoms.html,con_treatment/Gastroenteritis-food-poisoning_treatment.html,"food poisoning, diarrhoea, gastroenteritis, bacteria, Viral gastroenteritis ",Singapore General Hospital,0
Gastrointestinal Tract ,con_overview/Gastrointestinal-Tract_overview.html,con_symptoms/Gastrointestinal-Tract_symptoms.html,con_treatment/Gastrointestinal-Tract_treatment.html,"gastrointestinal tract, colon, pancreas, colonoscopy",Singapore General Hospital,0
Gingivitis,con_overview/Gingivitis_overview.html,con_symptoms/Gingivitis_symptoms.html,con_treatment/Gingivitis_treatment.html,"gingivitis, plaque, gum disease",National Dental Centre Singapore,0
Glaucoma,con_overview/Glaucoma-Treatment_overview.html,con_symptoms/Glaucoma-Treatment_symptoms.html,con_treatment/Glaucoma-Treatment_treatment.html,"ageing eye conditions; eye surgery; eye disease, eye diseases, Poor vision, distorted peripheral vision, bumping into things, losing side vision, loss of side vision, glaucoma screening, family history of Glaucoma, vision loss, eye redness, eye pain","Singapore National Eye Centre, KK Women's and Children's Hospital",0
Glue Ear - Otitis Media with Effusion (OME),con_overview/Glue-Ear-Otitis-Media-with-Effusion_overview.html,con_symptoms/Glue-Ear-Otitis-Media-with-Effusion_symptoms.html,con_treatment/Glue-Ear-Otitis-Media-with-Effusion_treatment.html,,KK Women's and Children's Hospital,0
Gout,con_overview/Gout_overview.html,con_symptoms/Gout_symptoms.html,con_treatment/Gout_treatment.html,,"Singapore General Hospital, KK Women's and Children's Hospital",0
Gum Infections,con_overview/Gum-Infections-Gingivitis-Abscess_overview.html,null,con_treatment/Gum-Infections-Gingivitis-Abscess_treatment.html,"gum infections, bacterial infection, poor oral hygiene",National Dental Centre Singapore,0
H,,,,,,0
"Hand, Foot and Mouth Disease (Child)",con_overview/Hand-Foot-and-Mouth-Disease-Child_overview.html,con_symptoms/Hand-Foot-and-Mouth-Disease-Child_symptoms.html,con_treatment/Hand-Foot-and-Mouth-Disease-Child_treatment.html,"pre-school children, Enteroviruses, Coxsackie virus, Enterovirus,blister-like or pimple-like rash on their hands, feet and buttocks, mouth ulcers and fever, sore throat, runny nose, vomiting,diarrhoea, tired.",KK Women's and Children's Hospital,0
Headaches,con_overview/Headaches_overview.html,null,con_treatment/Headaches_treatment.html,"headache, migraine, tension headache, cluster headache","National Neuroscience Institute - Singapore General Hospital Campus, National Neuroscience Institute - Tan Tock Seng Hospital Campus",0
Headache in Children (Child),con_overview/Headache-In-Children_overview.html,null,con_treatment/Headache-In-Children_treatment.html,"headache, lack of sleep, hunger, anxiety",Singapore General Hospital,0
Head and Neck Cancer,con_overview/Head-and-neck-cancer_overview.html,con_symptoms/Head-and-neck-cancer_symptoms.html,con_treatment/Head-and-neck-cancer_treatment.html,"Head &amp; Neck Cancer, Head and Neck cancer, skin cancer,  mouth cancer, nose cancer, throat cancer, larynx, oropharynx, hypopharynx",Singapore General Hospital,0
Head and Neck Surgery,con_overview/head-and-neck-surgery_overview.html,con_symptoms/head-and-neck-surgery_symptoms.html,con_treatment/head-and-neck-surgery_treatment.html,"head and neck cancer, causes of head and neck cancer, symptoms of cancer, what to do before surgery, recovery after surgery","Singapore General Hospital, KK Women's and Children's Hospital",0
Head Injury,con_overview/Head-Injury_overview.html,con_symptoms/Head-Injury_symptoms.html,con_treatment/Head-Injury_treatment.html,"head injury, brain injury, skull, brain","National Neuroscience Institute - Singapore General Hospital Campus, National Neuroscience Institute - Tan Tock Seng Hospital Campus",0
Head Injury (Child),con_overview/Head-Injury-Child_overview.html,con_symptoms/Head-Injury-Child_symptoms.html,con_treatment/Head-Injury-Child_treatment.html,"unusual behaviour, Confusion, headache, Seizures,Fits, Unsteady, drowsiness,feeling sleepy, Vomiting, Double or blurred vision, Bleeding or watery discharge from the ear or nose",KK Women's and Children's Hospital,0
Hearing (Child),con_overview/Hearing-Child_overview.html,null,con_treatment/Hearing-Child_treatment.html,Checklist for Speech and Hearing,KK Women's and Children's Hospital,0
Hearing Loss,con_overview/Hearing-Loss_overview.html,con_symptoms/Hearing-Loss_symptoms.html,con_treatment/Hearing-Loss_treatment.html,,Singapore General Hospital,0
